Team,Rd64,,,,,Rd32,,,,,Swt16,,,,,Elite8,,,,,Final4,,,,,Champ,,,,
,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP
Yale,11.9,9.46,2.44,29.04,29.04,4.0,3.66,0.34,1.36,31.76,0.6,0.69,-0.09,-8.95,4.91,0.1,0.37,-0.27,-26.97,-102.97,0.02,0.24,-0.22,-22.0,-212.97,0.005,0.15,-0.14,-14.5,-299.97
Vermont,15.1,7.79,7.31,110.38,110.38,4.1,1.9,2.2,9.02,128.42,0.5,0.49,0.01,0.01,128.45,0.1,0.19,-0.09,-8.99,92.49,0.02,0.08,-0.06,-6.0,62.49,0.003,0.04,-0.04,-3.7,40.29
Charleston,15.9,12.02,3.88,61.69,61.69,4.4,3.02,1.38,6.07,73.83,0.8,0.52,0.28,0.22,74.49,0.1,0.19,-0.09,-8.99,38.53,0.01,0.08,-0.07,-7.0,3.53,0.002,0.03,-0.03,-2.8,-13.27
UAB,20.8,20.97,-0.17,-13.46,-13.46,2.5,3.82,-1.32,-128.7,-270.86,0.3,0.56,-0.26,-25.92,-348.62,0.04,0.24,-0.2,-19.99,-428.58,0.006,0.11,-0.1,-10.4,-480.58,0.001,0.05,-0.05,-4.9,-509.98
Akron,13.5,7.2,6.3,85.05,85.05,4.0,1.76,2.24,8.96,102.97,0.6,0.49,0.11,0.07,103.18,0.07,0.18,-0.11,-10.99,59.22,0.009,0.08,-0.07,-7.1,23.72,.001,0.04,-0.04,-3.9,0.32
Morehead St.,13.1,7.38,5.72,74.93,74.93,3.0,2.7,0.3,0.9,76.73,0.5,0.63,-0.13,-12.94,37.91,0.04,0.18,-0.14,-13.99,-18.05,0.006,0.08,-0.07,-7.4,-55.05,.001,0.03,-0.03,-2.9,-72.45
Oakland,13.3,4.26,9.04,120.23,120.23,2.8,1.42,1.38,3.86,127.95,0.4,0.47,-0.07,-6.97,107.04,0.03,0.19,-0.16,-16.0,43.04,0.004,0.08,-0.08,-7.6,5.04,.001,0.04,-0.04,-3.9,-18.36
Colgate,11.7,6.53,5.17,60.49,60.49,1.9,1.97,-0.07,-6.87,46.75,0.2,0.67,-0.47,-46.91,-93.98,0.02,0.33,-0.31,-30.99,-217.94,0.002,0.08,-0.08,-7.8,-256.94,.001,0.03,-0.03,-2.9,-274.34
Western Kentucky,9.0,5.43,3.57,32.13,32.13,1.4,2.14,-0.74,-72.96,-113.79,0.2,0.47,-0.27,-26.95,-194.64,0.02,0.17,-0.15,-15.0,-254.64,0.002,0.07,-0.07,-6.8,-288.64,.001,0.03,-0.03,-2.9,-306.04
South Dakota St.,7.2,4.06,3.14,22.61,22.61,1.6,1.44,0.16,0.26,23.13,0.2,0.54,-0.34,-33.93,-78.66,0.01,0.18,-0.17,-17.0,-146.66,0.002,0.08,-0.08,-7.8,-185.66,.001,0.03,-0.03,-2.9,-203.06
Longwood,3.8,2.2,1.6,6.08,6.08,0.6,0.84,-0.24,-23.86,-41.64,0.07,0.38,-0.31,-30.98,-134.58,0.009,0.21,-0.2,-20.1,-214.98,.001,0.1,-0.1,-9.9,-264.48,.001,0.05,-0.05,-4.9,-293.88
Long Beach St.,3.6,3.78,-0.18,-17.35,-17.35,0.5,1.64,-1.14,-113.43,-244.21,0.06,0.63,-0.57,-56.97,-415.12,0.005,0.24,-0.23,-23.5,-509.12,.001,0.11,-0.11,-10.9,-563.62,.001,0.05,-0.05,-4.9,-593.02
Saint Peter's,4.4,4.29,0.11,0.48,0.48,0.6,1.69,-1.09,-108.35,-216.22,0.07,0.65,-0.58,-57.96,-390.1,0.004,0.24,-0.24,-23.6,-484.5,.001,0.11,-0.11,-10.9,-539.0,.001,0.05,-0.05,-4.9,-568.4
Stetson,1.8,1.48,0.32,0.58,0.58,0.2,0.64,-0.44,-43.91,-87.24,0.01,0.32,-0.31,-31.0,-180.24,.001,0.18,-0.18,-17.9,-251.84,.001,0.09,-0.09,-8.9,-296.34,.001,0.04,-0.04,-3.9,-319.74
Grambling St.,0.6,1.77,-1.17,-116.3,-116.3,0.04,0.69,-0.65,-64.97,-246.24,0.002,0.33,-0.33,-32.8,-344.64,.001,0.18,-0.18,-17.9,-416.24,.001,0.08,-0.08,-7.9,-455.74,.001,0.03,-0.03,-2.9,-473.14
Wagner,0.9,1.62,-0.72,-71.35,-71.35,0.05,0.69,-0.64,-63.97,-199.29,0.002,0.35,-0.35,-34.8,-303.69,.001,0.19,-0.19,-18.9,-379.29,.001,0.08,-0.08,-7.9,-418.79,.001,0.04,-0.04,-3.9,-442.19
